treatment	plant_species	replicate	sowing_date	germ_date	germ_time
BSFfrass	E4	4	4/13/2023	4/19/2023	6
BSFfrass	E5	5	4/13/2023	4/18/2023	5
BSFfrass	E6	6	4/13/2023	4/19/2023	6
BSFfrass	E7	7	4/13/2023	4/19/2023	6
BSFfrass	E8	8	4/13/2023	4/19/2023	6
BSFfrass	E9	9	4/13/2023	4/20/2023	7
BSFfrass	E10	10	4/13/2023	4/20/2023	7
BSFfrass	E11	11	4/13/2023	4/19/2023	6
BSFfrass	E12	12	4/13/2023	4/19/2023	6
BSFfrass	E14	13	4/13/2023	4/19/2023	6
BSFfrass	E15	14	4/13/2023	4/18/2023	5
BSFfrass	E16	15	4/13/2023	4/18/2023	5
BSFfrass	E17	16	4/13/2023	4/18/2023	5
BSFfrass	E18	17	4/13/2023	4/18/2023	5
BSFfrass	E19	18	4/13/2023	4/19/2023	6
BSFfrass	E20	19	4/13/2023	4/19/2023	6
BSFfrass	E21	20	4/13/2023	4/19/2023	6
BSFfrass	E22	21	4/13/2023	4/18/2023	5
BSFfrass	E23	22	4/13/2023	4/19/2023	6
BSFfrass	E24	23	4/13/2023	4/19/2023	6
BSFfrass	E25	24	4/13/2023	4/20/2023	7
BSFfrass	E26	25	4/13/2023	4/19/2023	6
BSFfrass	E27	26	4/13/2023	4/20/2023	7
BSFfrass	E28	27	4/13/2023	4/20/2023	7
BSFfrass	E29	28	4/13/2023	4/21/2023	8
BSFfrass	E30	29	4/13/2023	4/20/2023	7
BSFfrass	F1	1	4/13/2023	4/17/2023	4
BSFfrass	F2	2	4/13/2023	4/17/2023	4
BSFfrass	F3	3	4/13/2023	4/18/2023	5
BSFfrass	F4	4	4/13/2023	4/17/2023	4
BSFfrass	F5	5	4/13/2023	4/17/2023	4
BSFfrass	F6	6	4/13/2023	4/17/2023	4
BSFfrass	F7	7	4/13/2023	4/17/2023	4
BSFfrass	F8	8	4/13/2023	4/17/2023	4
BSFfrass	F9	9	4/13/2023	4/18/2023	5
BSFfrass	F10	10	4/13/2023	4/17/2023	4
BSFfrass	F11	11	4/13/2023	4/18/2023	5
BSFfrass	F12	12	4/13/2023	4/17/2023	4
BSFfrass	F13	13	4/13/2023	4/18/2023	5
BSFfrass	F14	14	4/13/2023	4/17/2023	4
BSFfrass	F15	15	4/13/2023	4/17/2023	4
BSFfrass	F16	16	4/13/2023	4/17/2023	4
BSFfrass	F17	17	4/13/2023	4/18/2023	5
BSFfrass	F18	18	4/13/2023	4/17/2023	4
BSFfrass	F19	19	4/13/2023	4/17/2023	4
BSFfrass	F20	20	4/13/2023	4/18/2023	5
BSFfrass	F21	21	4/13/2023	4/18/2023	5
BSFfrass	F22	22	4/13/2023	4/17/2023	4
BSFfrass	F23	23	4/13/2023	4/17/2023	4
BSFfrass	F24	24	4/13/2023	4/20/2023	7
BSFfrass	F25	25	4/13/2023	4/18/2023	5
BSFfrass	F26	26	4/13/2023	4/17/2023	4
BSFfrass	F27	27	4/13/2023	4/17/2023	4
BSFfrass	F28	28	4/13/2023	4/18/2023	5
BSFfrass	F29	29	4/13/2023	4/18/2023	5
BSFfrass	F30	30	4/13/2023	4/17/2023	4
BSFfrass	G1	1	4/13/2023	4/20/2023	7
BSFfrass	G3	2	4/13/2023	4/19/2023	6
BSFfrass	G4	3	4/13/2023	4/18/2023	5
BSFfrass	G5	4	4/13/2023	4/18/2023	5
BSFfrass	G6	5	4/13/2023	4/19/2023	6
BSFfrass	G7	6	4/13/2023	4/18/2023	5
BSFfrass	G9	7	4/13/2023	4/18/2023	5
BSFfrass	G10	8	4/13/2023	4/18/2023	5
BSFfrass	G12	9	4/13/2023	4/22/2023	9
BSFfrass	G14	10	4/13/2023	4/18/2023	5
BSFfrass	G15	11	4/13/2023	4/18/2023	5
BSFfrass	G16	12	4/13/2023	4/18/2023	5
BSFfrass	G18	13	4/13/2023	4/21/2023	8
BSFfrass	G19	14	4/13/2023	4/19/2023	6
BSFfrass	G20	15	4/13/2023	4/21/2023	8
BSFfrass	G21	16	4/13/2023	4/18/2023	5
BSFfrass	G22	17	4/13/2023	4/19/2023	6
BSFfrass	G23	18	4/13/2023	4/18/2023	5
BSFfrass	G24	19	4/13/2023	4/18/2023	5
BSFfrass	G25	20	4/13/2023	4/18/2023	5
BSFfrass	G26	21	4/13/2023	4/18/2023	5
BSFfrass	G27	22	4/13/2023	4/18/2023	5
BSFfrass	G28	23	4/13/2023	4/22/2023	9
BSFfrass	G29	24	4/13/2023	4/18/2023	5
BSFfrass	G30	25	4/13/2023	4/21/2023	8
BSFfrass	H1	1	4/13/2023	4/18/2023	5
BSFfrass	H3	2	4/13/2023	4/18/2023	5
BSFfrass	H4	3	4/13/2023	4/19/2023	6
BSFfrass	H6	4	4/13/2023	4/18/2023	5
BSFfrass	H7	5	4/13/2023	4/19/2023	6
BSFfrass	H8	6	4/13/2023	4/18/2023	5
BSFfrass	H9	7	4/13/2023	4/20/2023	7
BSFfrass	H10	8	4/13/2023	4/18/2023	5
BSFfrass	H11	9	4/13/2023	4/18/2023	5
BSFfrass	H12	10	4/13/2023	4/18/2023	5
BSFfrass	H13	11	4/13/2023	4/22/2023	9
BSFfrass	H14	12	4/13/2023	4/17/2023	4
BSFfrass	H15	13	4/13/2023	4/19/2023	6
BSFfrass	H16	14	4/13/2023	4/22/2023	9
BSFfrass	H17	15	4/13/2023	4/18/2023	5
BSFfrass	H18	16	4/13/2023	4/19/2023	6
BSFfrass	H19	17	4/13/2023	4/22/2023	9
BSFfrass	H20	18	4/13/2023	4/21/2023	8
BSFfrass	H21	19	4/13/2023	4/21/2023	8
BSFfrass	H22	20	4/13/2023	4/18/2023	5
BSFfrass	H23	21	4/13/2023	4/18/2023	5
BSFfrass	H24	22	4/13/2023	4/18/2023	5
BSFfrass	H25	23	4/13/2023	4/18/2023	5
BSFfrass	H26	24	4/13/2023	4/18/2023	5
BSFfrass	H27	25	4/13/2023	4/18/2023	5
BSFfrass	H28	26	4/13/2023	4/19/2023	6
BSFfrass	H29	27	4/13/2023	4/21/2023	8
BSFfrass	H30	28	4/13/2023	4/22/2023	9
BSFfrass	I1	1	4/13/2023	4/18/2023	5
BSFfrass	I2	2	4/13/2023	4/18/2023	5
BSFfrass	I3	3	4/13/2023	4/18/2023	5
BSFfrass	I4	4	4/13/2023	4/18/2023	5
BSFfrass	I5	5	4/13/2023	4/18/2023	5
BSFfrass	I6	6	4/13/2023	4/18/2023	5
BSFfrass	I7	7	4/13/2023	4/18/2023	5
BSFfrass	I8	8	4/13/2023	4/18/2023	5
BSFfrass	I9	9	4/13/2023	4/18/2023	5
BSFfrass	I10	10	4/13/2023	4/18/2023	5
BSFfrass	I11	11	4/13/2023	4/19/2023	6
BSFfrass	I12	12	4/13/2023	4/22/2023	9
BSFfrass	I13	13	4/13/2023	4/22/2023	9
BSFfrass	I14	14	4/13/2023	4/19/2023	6
BSFfrass	I15	15	4/13/2023	4/18/2023	5
BSFfrass	I16	16	4/13/2023	4/18/2023	5
BSFfrass	I17	17	4/13/2023	4/18/2023	5
BSFfrass	I18	18	4/13/2023	4/18/2023	5
BSFfrass	I19	19	4/13/2023	4/18/2023	5
BSFfrass	I20	20	4/13/2023	4/18/2023	5
BSFfrass	I21	21	4/13/2023	4/19/2023	6
BSFfrass	I22	22	4/13/2023	4/18/2023	5
BSFfrass	I23	23	4/13/2023	4/18/2023	5
BSFfrass	I24	24	4/13/2023	4/18/2023	5
BSFfrass	I25	25	4/13/2023	4/18/2023	5
BSFfrass	I26	26	4/13/2023	4/18/2023	5
BSFfrass	I27	27	4/13/2023	4/18/2023	5
BSFfrass	I28	28	4/13/2023	4/18/2023	5
BSFfrass	I29	29	4/13/2023	4/18/2023	5
BSFfrass	I30	30	4/13/2023	4/19/2023	6
BSFfrass	J1	1	4/13/2023	4/22/2023	9
BSFfrass	J2	2	4/13/2023	4/20/2023	7
BSFfrass	J3	3	4/13/2023	4/20/2023	7
BSFfrass	J4	4	4/13/2023	4/20/2023	7
BSFfrass	J5	5	4/13/2023	4/19/2023	6
BSFfrass	J6	6	4/13/2023	4/20/2023	7
BSFfrass	J7	7	4/13/2023	4/21/2023	8
BSFfrass	J8	8	4/13/2023	4/21/2023	8
BSFfrass	J9	9	4/13/2023	4/21/2023	8
BSFfrass	J10	10	4/13/2023	4/20/2023	7
BSFfrass	J15	11	4/13/2023	4/21/2023	8
BSFfrass	J16	12	4/13/2023	4/23/2023	10
BSFfrass	J17	13	4/13/2023	4/23/2023	10
BSFfrass	J18	14	4/13/2023	4/21/2023	8
BSFfrass	J19	15	4/13/2023	4/22/2023	9
BSFfrass	J20	16	4/13/2023	4/19/2023	6
BSFfrass	J21	17	4/13/2023	4/19/2023	6
BSFfrass	J22	18	4/13/2023	4/21/2023	8
BSFfrass	J24	19	4/13/2023	4/21/2023	8
BSFfrass	J25	20	4/13/2023	4/21/2023	8
BSFfrass	J28	21	4/13/2023	4/19/2023	6
BSFfrass	J29	22	4/13/2023	4/22/2023	9
BSFfrass	J30	23	4/13/2023	4/22/2023	9
BSFfrass	K1	1	4/13/2023	4/22/2023	9
BSFfrass	K6	2	4/13/2023	4/23/2023	10
BSFfrass	K10	3	4/13/2023	4/22/2023	9
BSFfrass	K20	4	4/13/2023	4/21/2023	8
BSFfrass	K28	5	4/13/2023	4/25/2023	12
BSFfrass	L1	1	4/13/2023	4/18/2023	5
BSFfrass	L2	2	4/13/2023	4/18/2023	5
BSFfrass	L5	3	4/13/2023	4/27/2023	14
BSFfrass	L6	4	4/13/2023	4/18/2023	5
BSFfrass	L7	5	4/13/2023	4/18/2023	5
BSFfrass	L8	6	4/13/2023	4/18/2023	5
BSFfrass	L11	7	4/13/2023	4/17/2023	4
BSFfrass	L12	8	4/13/2023	4/18/2023	5
BSFfrass	L14	9	4/13/2023	4/18/2023	5
BSFfrass	L15	10	4/13/2023	4/21/2023	8
BSFfrass	L16	11	4/13/2023	4/22/2023	9
BSFfrass	L17	12	4/13/2023	4/18/2023	5
BSFfrass	L18	13	4/13/2023	4/17/2023	4
BSFfrass	L22	14	4/13/2023	4/18/2023	5
BSFfrass	L23	15	4/13/2023	4/17/2023	4
BSFfrass	L24	16	4/13/2023	4/17/2023	4
BSFfrass	L25	17	4/13/2023	4/17/2023	4
BSFfrass	L26	18	4/13/2023	4/18/2023	5
BSFfrass	L28	19	4/13/2023	4/17/2023	4
BSFfrass	L29	20	4/13/2023	4/18/2023	5
BSFfrass	L30	21	4/13/2023	4/18/2023	5
BSFfrass	M2	1	4/13/2023	4/17/2023	4
BSFfrass	M3	2	4/13/2023	4/21/2023	8
BSFfrass	M4	3	4/13/2023	4/18/2023	5
BSFfrass	M6	4	4/13/2023	4/17/2023	4
BSFfrass	M7	5	4/13/2023	4/18/2023	5
BSFfrass	M8	6	4/13/2023	4/22/2023	9
BSFfrass	M9	7	4/13/2023	4/17/2023	4
BSFfrass	M10	8	4/13/2023	4/17/2023	4
BSFfrass	M11	9	4/13/2023	4/17/2023	4
BSFfrass	M12	10	4/13/2023	4/19/2023	6
BSFfrass	M16	11	4/13/2023	4/18/2023	5
BSFfrass	M19	12	4/13/2023	4/17/2023	4
BSFfrass	M20	13	4/13/2023	4/17/2023	4
BSFfrass	M22	14	4/13/2023	4/20/2023	7
BSFfrass	M24	15	4/13/2023	4/17/2023	4
BSFfrass	M25	16	4/13/2023	4/18/2023	5
BSFfrass	M27	17	4/13/2023	4/18/2023	5
BSFfrass	M30	18	4/13/2023	4/17/2023	4
BSFfrass	N1	1	4/13/2023	4/18/2023	5
BSFfrass	N2	2	4/13/2023	4/18/2023	5
BSFfrass	N3	3	4/13/2023	4/17/2023	4
BSFfrass	N4	4	4/13/2023	4/18/2023	5
BSFfrass	N5	5	4/13/2023	4/17/2023	4
BSFfrass	N7	6	4/13/2023	4/18/2023	5
BSFfrass	N9	7	4/13/2023	4/17/2023	4
BSFfrass	N10	8	4/13/2023	4/21/2023	8
BSFfrass	N11	9	4/13/2023	4/18/2023	5
BSFfrass	N12	10	4/13/2023	4/18/2023	5
BSFfrass	N14	11	4/13/2023	4/18/2023	5
BSFfrass	N15	12	4/13/2023	4/18/2023	5
BSFfrass	N16	13	4/13/2023	4/17/2023	4
BSFfrass	N17	14	4/13/2023	4/18/2023	5
BSFfrass	N18	15	4/13/2023	4/18/2023	5
BSFfrass	N19	16	4/13/2023	4/17/2023	4
BSFfrass	N22	17	4/13/2023	4/18/2023	5
BSFfrass	N23	18	4/13/2023	4/17/2023	4
BSFfrass	N24	19	4/13/2023	4/17/2023	4
BSFfrass	N26	20	4/13/2023	4/18/2023	5
BSFfrass	N27	21	4/13/2023	4/19/2023	6
BSFfrass	N28	22	4/13/2023	4/18/2023	5
BSFfrass	N30	23	4/13/2023	4/17/2023	4
BSFfrass	O1	1	4/13/2023	4/18/2023	5
BSFfrass	O2	2	4/13/2023	4/18/2023	5
BSFfrass	O3	3	4/13/2023	4/18/2023	5
BSFfrass	O4	4	4/13/2023	4/18/2023	5
BSFfrass	O5	5	4/13/2023	4/18/2023	5
BSFfrass	O6	6	4/13/2023	4/18/2023	5
BSFfrass	O7	7	4/13/2023	4/18/2023	5
BSFfrass	O8	8	4/13/2023	4/18/2023	5
BSFfrass	O9	9	4/13/2023	4/18/2023	5
BSFfrass	O10	10	4/13/2023	4/18/2023	5
BSFfrass	O11	11	4/13/2023	4/18/2023	5
BSFfrass	O12	12	4/13/2023	4/18/2023	5
BSFfrass	O13	13	4/13/2023	4/18/2023	5
BSFfrass	O14	14	4/13/2023	4/18/2023	5
BSFfrass	O15	15	4/13/2023	4/18/2023	5
BSFfrass	O16	16	4/13/2023	4/18/2023	5
BSFfrass	O17	17	4/13/2023	4/19/2023	6
BSFfrass	O18	18	4/13/2023	4/18/2023	5
BSFfrass	O19	19	4/13/2023	4/18/2023	5
BSFfrass	O20	20	4/13/2023	4/19/2023	6
BSFfrass	O21	21	4/13/2023	4/18/2023	5
BSFfrass	O22	22	4/13/2023	4/18/2023	5
BSFfrass	O23	23	4/13/2023	4/18/2023	5
BSFfrass	O24	24	4/13/2023	4/18/2023	5
BSFfrass	O25	25	4/13/2023	4/19/2023	6
BSFfrass	O26	26	4/13/2023	4/20/2023	7
BSFfrass	O27	27	4/13/2023	4/21/2023	8
BSFfrass	O28	28	4/13/2023	4/18/2023	5
BSFfrass	O29	29	4/13/2023	4/18/2023	5
BSFfrass	O30	30	4/13/2023	4/18/2023	5
BSFfrass	P1	1	4/13/2023	4/18/2023	5
BSFfrass	P3	2	4/13/2023	4/18/2023	5
BSFfrass	P5	3	4/13/2023	4/17/2023	4
BSFfrass	P6	4	4/13/2023	4/17/2023	4
BSFfrass	P7	5	4/13/2023	4/18/2023	5
BSFfrass	P10	6	4/13/2023	4/22/2023	9
BSFfrass	P11	7	4/13/2023	4/18/2023	5
BSFfrass	P12	8	4/13/2023	4/23/2023	10
BSFfrass	P13	9	4/13/2023	4/18/2023	5
BSFfrass	P14	10	4/13/2023	4/18/2023	5
BSFfrass	P16	11	4/13/2023	4/17/2023	4
BSFfrass	P17	12	4/13/2023	4/22/2023	9
BSFfrass	P18	13	4/13/2023	4/18/2023	5
BSFfrass	P19	14	4/13/2023	4/18/2023	5
BSFfrass	P20	15	4/13/2023	4/21/2023	8
BSFfrass	P22	16	4/13/2023	4/18/2023	5
BSFfrass	P24	17	4/13/2023	4/18/2023	5
BSFfrass	P27	18	4/13/2023	4/21/2023	8
BSFfrass	P28	19	4/13/2023	4/18/2023	5
BSFfrass	P29	20	4/13/2023	4/18/2023	5
BSFfrass	P30	21	4/13/2023	4/18/2023	5
BSFfrass	Q1	1	4/13/2023	4/18/2023	5
BSFfrass	Q3	2	4/13/2023	4/18/2023	5
BSFfrass	Q5	3	4/13/2023	4/18/2023	5
BSFfrass	Q7	4	4/13/2023	4/18/2023	5
BSFfrass	Q8	5	4/13/2023	4/19/2023	6
BSFfrass	Q9	6	4/13/2023	4/17/2023	4
BSFfrass	Q10	7	4/13/2023	4/18/2023	5
BSFfrass	Q11	8	4/13/2023	4/21/2023	8
BSFfrass	Q12	9	4/13/2023	4/23/2023	10
BSFfrass	Q13	10	4/13/2023	4/18/2023	5
BSFfrass	Q14	11	4/13/2023	4/18/2023	5
BSFfrass	Q15	12	4/13/2023	4/18/2023	5
BSFfrass	Q16	13	4/13/2023	4/18/2023	5
BSFfrass	Q17	14	4/13/2023	4/18/2023	5
BSFfrass	Q18	15	4/13/2023	4/18/2023	5
BSFfrass	Q19	16	4/13/2023	4/19/2023	6
BSFfrass	Q21	17	4/13/2023	4/21/2023	8
BSFfrass	Q22	18	4/13/2023	4/18/2023	5
BSFfrass	Q23	19	4/13/2023	4/18/2023	5
BSFfrass	Q24	20	4/13/2023	4/18/2023	5
BSFfrass	Q25	21	4/13/2023	4/18/2023	5
BSFfrass	Q26	22	4/13/2023	4/21/2023	8
BSFfrass	Q27	23	4/13/2023	4/22/2023	9
BSFfrass	Q28	24	4/13/2023	4/22/2023	9
BSFfrass	R1	1	4/13/2023	4/21/2023	8
BSFfrass	R2	2	4/13/2023	4/18/2023	5
BSFfrass	R4	3	4/13/2023	4/18/2023	5
BSFfrass	R5	4	4/13/2023	4/17/2023	4
BSFfrass	R6	5	4/13/2023	4/18/2023	5
BSFfrass	R8	6	4/13/2023	4/21/2023	8
BSFfrass	R10	7	4/13/2023	4/17/2023	4
BSFfrass	R11	8	4/13/2023	4/17/2023	4
BSFfrass	R12	9	4/13/2023	4/17/2023	4
BSFfrass	R13	10	4/13/2023	4/17/2023	4
BSFfrass	R14	11	4/13/2023	4/18/2023	5
BSFfrass	R15	12	4/13/2023	4/17/2023	4
BSFfrass	R16	13	4/13/2023	4/18/2023	5
BSFfrass	R17	14	4/13/2023	4/17/2023	4
BSFfrass	R18	15	4/13/2023	4/18/2023	5
BSFfrass	R19	16	4/13/2023	4/17/2023	4
BSFfrass	R20	17	4/13/2023	4/17/2023	4
BSFfrass	R21	18	4/13/2023	4/17/2023	4
BSFfrass	R23	19	4/13/2023	4/18/2023	5
BSFfrass	R25	20	4/13/2023	4/18/2023	5
BSFfrass	R27	21	4/13/2023	4/17/2023	4
BSFfrass	R29	22	4/13/2023	4/18/2023	5
BSFfrass	R30	23	4/13/2023	4/17/2023	4
BSFfrass	S4	1	4/13/2023	4/18/2023	5
BSFfrass	S5	2	4/13/2023	4/18/2023	5
BSFfrass	S7	3	4/13/2023	4/17/2023	4
BSFfrass	S8	4	4/13/2023	4/18/2023	5
BSFfrass	S9	5	4/13/2023	4/18/2023	5
BSFfrass	S10	6	4/13/2023	4/21/2023	8
BSFfrass	S11	7	4/13/2023	4/18/2023	5
BSFfrass	S12	8	4/13/2023	4/18/2023	5
BSFfrass	S14	9	4/13/2023	4/18/2023	5
BSFfrass	S16	10	4/13/2023	4/17/2023	4
BSFfrass	S17	11	4/13/2023	4/18/2023	5
BSFfrass	S18	12	4/13/2023	4/18/2023	5
BSFfrass	S20	13	4/13/2023	4/20/2023	7
BSFfrass	S23	14	4/13/2023	4/18/2023	5
BSFfrass	S24	15	4/13/2023	4/18/2023	5
BSFfrass	S25	16	4/13/2023	4/18/2023	5
BSFfrass	S26	17	4/13/2023	4/18/2023	5
BSFfrass	S27	18	4/13/2023	4/18/2023	5
BSFfrass	T1	1	4/13/2023	4/17/2023	4
BSFfrass	T2	2	4/13/2023	4/19/2023	6
BSFfrass	T3	3	4/13/2023	4/17/2023	4
BSFfrass	T4	4	4/13/2023	4/17/2023	4
BSFfrass	T5	5	4/13/2023	4/18/2023	5
BSFfrass	T6	6	4/13/2023	4/17/2023	4
BSFfrass	T7	7	4/13/2023	4/18/2023	5
BSFfrass	T8	8	4/13/2023	4/18/2023	5
BSFfrass	T10	9	4/13/2023	4/18/2023	5
BSFfrass	T11	10	4/13/2023	4/18/2023	5
BSFfrass	T13	11	4/13/2023	4/17/2023	4
BSFfrass	T15	12	4/13/2023	4/18/2023	5
BSFfrass	T16	13	4/13/2023	4/18/2023	5
BSFfrass	T17	14	4/13/2023	4/21/2023	8
BSFfrass	T18	15	4/13/2023	4/18/2023	5
BSFfrass	T19	16	4/13/2023	4/21/2023	8
BSFfrass	T20	17	4/13/2023	4/18/2023	5
BSFfrass	T21	18	4/13/2023	4/18/2023	5
BSFfrass	T22	19	4/13/2023	4/17/2023	4
BSFfrass	T23	20	4/13/2023	4/17/2023	4
BSFfrass	T24	21	4/13/2023	4/18/2023	5
BSFfrass	T25	22	4/13/2023	4/18/2023	5
BSFfrass	T27	23	4/13/2023	4/18/2023	5
BSFfrass	T28	24	4/13/2023	4/17/2023	4
BSFfrass	T29	25	4/13/2023	4/18/2023	5
BSFfrass	T30	26	4/13/2023	4/17/2023	4
BSFfrass	U1	1	4/13/2023	4/22/2023	9
BSFfrass	U2	2	4/13/2023	4/17/2023	4
BSFfrass	U6	3	4/13/2023	4/18/2023	5
BSFfrass	U8	4	4/13/2023	4/18/2023	5
BSFfrass	U9	5	4/13/2023	4/21/2023	8
BSFfrass	U10	6	4/13/2023	4/17/2023	4
BSFfrass	U11	7	4/13/2023	5/1/2023	18
BSFfrass	U12	8	4/13/2023	4/23/2023	10
BSFfrass	U13	9	4/13/2023	4/22/2023	9
BSFfrass	U14	10	4/13/2023	4/21/2023	8
BSFfrass	U15	11	4/13/2023	4/20/2023	7
BSFfrass	U18	12	4/13/2023	4/17/2023	4
BSFfrass	U20	13	4/13/2023	4/21/2023	8
BSFfrass	U26	14	4/13/2023	4/18/2023	5
BSFfrass	U28	15	4/13/2023	4/17/2023	4
BSFfrass	U30	16	4/13/2023	4/20/2023	7
